0,24.0
1,27.0
2,27.0
3,25.0
4,31.0
5,35.0
6,24.0
7,19.0
8,28.0
9,23.0
10,27.0
11,20.0
12,22.0
13,18.0
14,20.0
15,31.0
16,32.0
17,31.0
18,32.0
19,24.0
20,26.0
21,29.0
22,24.0
23,24.0
24,33.0
25,33.0
26,32.0
27,28.0
28,19.0
29,32.0
30,34.0
31,26.0
32,30.0
33,22.0
34,22.0
35,33.0
36,39.0
37,36.0
38,28.0
39,27.0
40,21.0
41,24.0
42,30.0
43,34.0
44,32.0
45,38.0
46,37.0
47,30.0
48,31.0
49,37.0
50,32.0
51,47.0
52,41.0
53,45.0
54,34.0
55,33.0
56,24.0
57,32.0
58,39.0
59,35.0
60,32.0
61,37.0
62,38.0
63,34.0
64,34.0
65,32.0
66,33.0
67,32.0
68,25.0
69,24.0
70,37.0
71,31.0
72,36.0
73,36.0
74,34.0
75,38.0
76,32.0
77,38.0
78,32.0
