0,18
1,15
2,18
3,16
4,17
5,15
6,14
7,14
8,14
9,15
10,15
11,14
12,15
13,14
14,22
15,18
16,21
17,21
18,10
19,10
20,11
21,9
22,28
23,25
24,19
25,16
26,17
27,19
28,18
29,14
30,14
31,14
32,14
33,12
34,13
35,13
36,18
37,22
38,19
39,18
40,23
41,26
42,25
43,20
44,21
45,13
46,14
47,15
48,14
49,17
50,11
51,13
52,12
53,13
54,15
55,13
56,13
57,14
58,22
59,28
60,13
61,14
62,13
63,14
64,15
65,12
66,13
67,13
68,14
69,13
70,12
71,13
72,18
73,16
74,18
75,18
76,23
77,11
78,12
79,13
80,12
81,18
82,21
83,19
84,21
85,15
86,16
87,15
88,11
89,20
90,21
91,19
92,15
93,26
94,25
95,16
96,16
97,18
98,16
99,13
100,14
101,14
102,14
103,28
104,19
105,18
106,15
107,15
108,16
109,15
110,16
111,14
112,17
113,16
114,15
115,18
116,21
117,20
118,13
119,23
120,20
121,23
122,18
123,19
124,25
125,26
126,18
127,16
128,16
129,15
130,22
131,22
132,24
133,23
134,29
135,25
136,20
137,18
138,19
139,18
140,27
141,13
142,17
143,13
144,13
145,13
146,30
147,26
148,18
149,17
150,16
151,15
152,18
153,21
154,19
155,19
156,16
157,16
158,16
159,16
160,25
161,26
162,31
163,34
164,36
165,20
166,19
167,20
168,19
169,21
170,20
171,25
172,21
173,19
174,21
175,21
176,19
177,18
178,19
179,18
180,18
181,18
182,30
183,31
184,23
185,24
186,22
187,20
188,22
189,20
190,21
191,17
192,18
193,17
194,18
195,17
196,16
197,19
198,19
199,36
200,27
201,23
202,24
203,34
204,35
205,28
206,29
207,27
208,34
209,32
210,28
211,26
212,24
213,19
214,28
215,24
216,27
217,27
218,26
219,24
220,30
221,39
222,35
223,34
224,30
225,22
226,27
227,20
228,18
229,28
230,27
231,34
232,31
233,29
234,27
235,24
236,23
237,38
238,36
239,25
240,38
241,26
242,22
243,36
244,27
245,27
246,32
247,28
248,31
